"","RRA_Lepidoptera","RRA_Diptera","RRA_Araneae","RRA_Hymenoptera","RRA_Coleoptera","TreatmentB","TreatmentG","year","Ha","Doublebox","Type","Species","AdateSample","BroodID","WithinNestRep","SPY","Subplot","RingNumber"
"1",0.376811594202899,0.0434782608695652,0.0217391304347826,0.0217391304347826,0.507246376811594,0,0,2023,6.91,0,"AM",1,54,1813,"1813_AM","A12023","A1","CS87493"
"2",0.135810446957458,0.774474959612278,0.0331717824448034,0,0.0412493268712978,0,0,2023,6.91,0,"chick1",1,54,1813,"1813_chick1","A12023","A1",NA
"3",0.604838061560717,0.221007795547698,0,0,0.173270111709395,0,0,2023,6.91,0,"chick2",1,58,1813,"1813_chick2","A12023","A1",NA
"4",0.348278622898319,0.319455564451561,0.0312249799839872,0.0392313851080865,0.032826261008807,0,0,2023,6.91,0,"chick2",1,58,1813,"1813_chick2","A12023","A1",NA
"5",1,0,0,0,0,0,0,2023,6.91,0,"AF",1,55,1815,"1815_AF","A12023","A1","C5A0766"
"6",0.468785130780184,0,0.0114666866521772,0.380199355467286,0.132878662969347,0,0,2023,6.91,0,"AM",1,55,1815,"1815_AM","A12023","A1","CS87455"
"7",0.285714285714286,0.507745266781411,0.0981067125645439,0.044750430292599,0.044750430292599,0,0,2023,6.91,0,"chick1",1,55,1815,"1815_chick1","A12023","A1",NA
"8",0.00696985537550096,0.990329325666492,0,0,0,0,0,2023,6.91,0,"chick1",1,55,1815,"1815_chick1","A12023","A1",NA
"9",0.171542553191489,0.405086436170213,0.0267619680851064,0.00265957446808511,0.0443816489361702,0,0,2023,6.91,0,"chick1",1,55,1815,"1815_chick1","A12023","A1",NA
"10",0.187806052821707,0.0479649995986193,0.00337159829814562,0.749779240587621,0.00293007947338846,0,0,2023,6.91,0,"AM",1,51,1819,"1819_AM","A12023","A1","C5H7303"
"11",0.0610948191593353,0.665689149560117,0.231182795698925,0.00244379276637341,0.00195503421309873,0,0,2023,6.91,0,"chick1",1,51,1819,"1819_chick1","A12023","A1",NA
"12",0.374360814568942,0,0.012380012559433,0,0,0,0,2023,6.91,0,"chick2",1,55,1819,"1819_chick2","A12023","A1",NA
"13",0.935571428571429,0.00485714285714286,0,0.00171428571428571,0.0117857142857143,0,0,2023,6.91,0,"chick2",1,55,1819,"1819_chick2","A12023","A1",NA
"14",0.679976373301831,0.00342587123449498,0,0.298877731836976,0.0141760189013585,0,0,2023,6.91,0,"AF",1,49,1821,"1821_AF","A12023","A1","C5H7063"
"15",0.523701605288008,0.0281397544853636,0.264400377714825,0.0101983002832861,0.00755429650613787,0,0,2023,6.91,0,"AM",1,49,1821,"1821_AM","A12023","A1","CS87466"
"16",0.972312956913984,0,0.0136879763571317,0,0.00186654223051797,0,0,2023,6.91,0,"AF",0,54,1832,"1832_AF","A12023","A1","B5G6337"
"17",0.835362578334825,0.00376007162041182,0.125604297224709,0.012354521038496,0.00107430617726052,0,0,2023,6.91,0,"AM",0,54,1832,"1832_AM","A12023","A1","B5K0232"
"18",0.948383984563435,0.00235166425470333,0.0415460684997588,0,0,0,0,2023,6.91,0,"chick2",0,58,1832,"1832_chick2","A12023","A1",NA
"19",0.599692253062674,0.00503047878321596,0.252115760194117,0.00692430608983843,0.0246789370894242,0,0,2023,6.91,0,"AF",1,57,1833,"1833_AF","A12023","A1","C5H7279"
"20",0.511265043380912,0.00671704450041982,0.117198432689617,0.00258886090120347,0.252938706968934,0,0,2023,6.91,0,"AM",1,57,1833,"1833_AM","A12023","A1","C5H7151"
"21",0.0836521739130435,0.44695652173913,0.209217391304348,0.0238260869565217,0.0104347826086957,0,0,2023,6.91,0,"chick2",1,60,1833,"1833_chick2","A12023","A1",NA
